Variable:,tasmin
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1990,6.61,8.69,5.17,8.81,4.57,4.93,9.60,6.96,10.67,6.35,5.32,3.97,9.54,4.33,4.75,9.28,10.61,4.21,9.23,9.26,5.16,10.40,4.85,10.13,6.66,7.25,9.33,4.91,4.78,4.42,9.43,5.15,5.21,7.95,8.61,3.45,9.64
1991,5.95,8.06,4.49,8.22,3.92,4.23,8.89,6.30,10.06,5.76,4.65,3.29,8.84,3.69,4.09,8.59,10.00,3.53,8.54,8.57,4.50,9.77,4.11,9.52,5.97,6.55,8.65,4.32,4.12,3.71,8.84,4.41,4.57,7.36,7.93,2.74,9.04
1992,6.26,8.30,4.88,8.30,4.02,4.67,9.32,6.62,10.40,5.87,4.78,3.85,9.25,3.76,4.21,9.01,10.30,4.02,8.98,9.01,4.85,10.10,4.69,9.79,6.40,7.00,9.04,4.44,4.28,4.24,8.91,4.95,4.70,7.50,8.32,3.31,9.23
1993,6.02,8.12,4.56,8.28,3.99,4.25,9.02,6.38,10.17,5.81,4.71,3.39,8.98,3.75,4.16,8.66,10.05,3.58,8.56,8.59,4.58,9.85,4.27,9.58,6.00,6.58,8.78,4.36,4.19,3.80,8.89,4.52,4.62,7.44,8.05,2.85,9.13
1994,7.18,9.20,5.72,9.36,5.05,5.47,10.18,7.50,11.28,6.91,5.76,4.68,10.13,4.83,5.22,9.85,11.15,4.85,9.79,9.82,5.72,10.96,5.62,10.68,7.21,7.80,9.93,5.47,5.26,5.09,9.97,5.84,5.69,8.51,9.20,4.17,10.20
1995,6.12,8.19,4.64,8.41,4.17,4.33,9.05,6.45,10.17,5.97,4.85,3.49,9.01,3.95,4.34,8.72,10.08,3.68,8.64,8.67,4.66,9.87,4.37,9.62,6.08,6.66,8.81,4.55,4.35,3.89,9.03,4.61,4.78,7.52,8.09,2.96,9.16
1996,6.23,8.32,4.73,8.59,4.28,4.44,9.18,6.56,10.33,6.12,4.96,3.54,9.13,4.07,4.45,8.83,10.22,3.77,8.75,8.78,4.75,10.01,4.41,9.76,6.19,6.76,8.93,4.68,4.46,3.95,9.22,4.68,4.89,7.65,8.21,3.00,9.30
1997,6.21,8.28,4.75,8.51,4.15,4.47,9.23,6.56,10.37,6.03,4.84,3.53,9.18,3.93,4.32,8.88,10.23,3.77,8.80,8.83,4.76,10.03,4.45,9.76,6.22,6.80,8.98,4.57,4.35,3.97,9.13,4.72,4.78,7.63,8.25,3.01,9.34
1998,6.79,8.89,5.31,9.13,4.85,4.96,9.69,7.14,10.86,6.69,5.53,4.08,9.65,4.62,5.02,9.35,10.80,4.29,9.26,9.29,5.36,10.57,4.96,10.35,6.72,7.28,9.45,5.26,5.04,4.49,9.74,5.22,5.47,8.27,8.74,3.55,9.90
1999,6.98,9.04,5.47,9.45,5.10,5.11,9.87,7.31,11.00,6.97,5.79,4.21,9.83,4.87,5.26,9.52,10.88,4.42,9.43,9.46,5.52,10.68,5.10,10.46,6.88,7.44,9.63,5.51,5.27,4.63,10.07,5.37,5.72,8.53,8.92,3.68,10.15
2000,7.07,9.09,5.67,9.20,4.94,5.40,10.08,7.43,11.15,6.75,5.62,4.59,10.03,4.70,5.10,9.75,11.06,4.75,9.69,9.72,5.68,10.86,5.46,10.57,7.14,7.72,9.83,5.32,5.16,4.99,9.82,5.71,5.55,8.34,9.11,4.06,10.01
2001,7.09,9.21,5.58,9.53,5.16,5.22,10.03,7.44,11.22,7.05,5.83,4.25,10.01,5.06,5.30,9.68,11.13,4.51,9.55,9.58,5.63,10.91,5.19,10.68,7.00,7.55,9.82,5.60,5.31,4.72,10.15,5.48,5.78,8.62,9.09,3.74,10.27
2002,7.29,9.31,5.86,9.41,5.24,5.70,10.21,7.58,11.30,6.95,5.92,4.81,10.11,4.87,5.42,9.97,11.23,5.02,10.03,10.06,5.81,11.01,5.74,10.74,7.43,8.04,9.91,5.51,5.45,5.25,10.04,5.99,5.82,8.51,9.20,4.30,10.18
2003,7.21,9.40,5.72,9.60,5.20,5.40,10.20,7.59,11.43,7.12,5.98,4.36,10.17,4.90,5.41,9.87,11.34,4.64,9.77,9.80,5.75,11.11,5.26,10.87,7.18,7.76,9.98,5.66,5.43,4.83,10.23,5.57,5.91,8.73,9.25,3.84,10.40
2004,6.92,9.04,5.43,9.29,4.94,5.13,9.89,7.27,11.06,6.83,5.63,4.18,9.84,4.74,5.11,9.55,10.97,4.42,9.46,9.49,5.45,10.75,5.04,10.51,6.89,7.46,9.65,5.39,5.12,4.61,9.90,5.34,5.58,8.41,8.92,3.65,10.06
2005,6.47,8.62,4.95,8.91,4.50,4.61,9.42,6.82,10.63,6.45,5.21,3.67,9.38,4.36,4.66,9.06,10.56,3.92,8.95,8.98,4.99,10.33,4.53,10.10,6.38,6.95,9.19,5.01,4.67,4.11,9.53,4.84,5.17,8.02,8.46,3.14,9.66
2006,6.83,8.95,5.29,9.16,4.71,5.07,9.86,7.14,11.01,6.70,5.50,4.09,9.81,4.47,4.91,9.54,10.91,4.33,9.48,9.51,5.28,10.70,5.07,10.43,6.85,7.45,9.60,5.25,4.93,4.59,9.78,5.37,5.45,8.30,8.85,3.60,9.97
2007,7.40,9.47,5.91,9.54,5.26,5.71,10.40,7.70,11.52,7.06,6.02,4.91,10.31,4.94,5.46,10.11,11.43,5.08,10.12,10.15,5.87,11.21,5.85,10.93,7.48,8.09,10.09,5.61,5.49,5.35,10.16,6.11,5.92,8.66,9.36,4.41,10.37
2008,7.61,9.65,6.15,9.73,5.51,5.98,10.59,7.90,11.68,7.28,6.21,5.11,10.49,5.13,5.71,10.33,11.60,5.30,10.38,10.41,6.10,11.38,6.02,11.11,7.74,8.36,10.28,5.84,5.74,5.55,10.35,6.30,6.12,8.88,9.56,4.59,10.56
2009,7.54,9.57,6.06,9.72,5.41,5.92,10.53,7.82,11.61,7.26,6.13,4.98,10.44,5.16,5.59,10.25,11.52,5.20,10.26,10.29,6.00,11.31,5.92,11.04,7.65,8.27,10.23,5.81,5.62,5.45,10.34,6.20,6.05,8.87,9.50,4.49,10.55
2010,7.53,9.67,6.06,9.94,5.70,5.68,10.43,7.90,11.63,7.48,6.34,4.67,10.40,5.52,5.84,10.08,11.56,4.96,9.98,10.01,6.12,11.33,5.51,11.11,7.44,7.99,10.20,6.05,5.86,5.11,10.56,5.82,6.27,9.04,9.49,4.13,10.68
2011,7.00,9.12,5.53,9.15,4.79,5.39,10.02,7.32,11.16,6.69,5.68,4.43,9.94,4.43,5.03,9.74,11.08,4.65,9.74,9.77,5.47,10.86,5.39,10.58,7.13,7.74,9.73,5.23,5.07,4.91,9.76,5.67,5.57,8.30,8.99,3.94,10.01
2012,7.40,9.47,5.97,9.58,5.37,5.70,10.36,7.75,11.46,7.16,6.12,4.73,10.29,5.03,5.56,10.07,11.37,4.98,10.05,10.08,5.96,11.16,5.69,10.90,7.46,8.05,10.10,5.73,5.59,5.20,10.19,5.97,6.02,8.75,9.39,4.23,10.40
2013,7.47,9.53,6.00,9.75,5.43,5.75,10.39,7.78,11.54,7.27,6.16,4.81,10.31,5.18,5.60,10.09,11.45,5.05,10.08,10.11,5.99,11.23,5.77,10.99,7.50,8.08,10.10,5.81,5.62,5.28,10.37,6.05,6.07,8.89,9.39,4.32,10.56
2014,7.75,9.74,6.29,9.87,5.71,6.12,10.65,8.03,11.73,7.44,6.38,5.28,10.57,5.38,5.89,10.41,11.65,5.46,10.44,10.47,6.25,11.44,6.19,11.19,7.85,8.46,10.37,6.02,5.90,5.70,10.48,6.44,6.29,9.04,9.66,4.77,10.70
2015,7.41,9.43,5.93,9.50,5.28,5.82,10.35,7.67,11.46,7.03,6.03,4.97,10.24,4.95,5.48,10.12,11.36,5.16,10.20,10.23,5.87,11.14,5.97,10.87,7.55,8.19,10.03,5.58,5.51,5.44,10.12,6.22,5.91,8.64,9.31,4.50,10.34
2016,7.56,9.65,6.05,9.91,5.59,5.77,10.48,7.87,11.65,7.43,6.29,4.84,10.41,5.34,5.76,10.19,11.56,5.07,10.17,10.20,6.06,11.33,5.81,11.11,7.55,8.14,10.21,5.98,5.78,5.31,10.53,6.08,6.22,9.03,9.49,4.35,10.69
2017,7.23,9.27,5.76,9.37,5.14,5.57,10.17,7.52,11.29,6.91,5.89,4.68,10.08,4.85,5.33,9.92,11.19,4.89,9.96,9.99,5.72,10.97,5.68,10.71,7.33,7.94,9.87,5.47,5.35,5.16,9.99,5.95,5.78,8.53,9.15,4.20,10.22
2018,8.16,10.18,6.71,10.34,6.13,6.54,11.08,8.44,12.18,7.87,6.82,5.57,10.98,5.80,6.30,10.81,12.09,5.82,10.85,10.88,6.66,11.87,6.57,11.63,8.27,8.87,10.77,6.42,6.33,6.06,10.96,6.84,6.72,9.49,10.06,5.09,11.16
2019,8.04,10.03,6.61,10.16,5.97,6.47,10.95,8.31,12.06,7.69,6.61,5.56,10.83,5.70,6.12,10.71,11.97,5.77,10.80,10.83,6.54,11.75,6.53,11.50,8.19,8.81,10.60,6.25,6.14,6.02,10.77,6.78,6.52,9.32,9.90,5.08,11.01
2020,7.61,9.64,6.13,9.77,5.56,5.98,10.53,7.88,11.65,7.30,6.26,5.11,10.42,5.25,5.74,10.27,11.56,5.31,10.33,10.36,6.09,11.34,6.02,11.09,7.71,8.33,10.20,5.86,5.76,5.54,10.38,6.28,6.16,8.93,9.49,4.60,10.62
