Variable:,tasmin
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
2000,7.76,6.73,9.10,5.86,7.95,7.56,8.80,7.92,7.24,9.97,6.49,8.34,8.76,8.23,6.99,6.69,7.89,7.81,8.48,8.21,8.83,7.94,6.09,21.66,21.62,22.31,22.54,17.18,16.07,22.01,22.28,23.12,21.57
2001,7.27,5.88,8.72,5.33,7.57,6.87,8.47,7.41,6.61,9.97,5.70,7.91,8.24,7.87,6.47,5.93,7.50,7.30,8.05,7.68,8.32,7.62,5.54,21.81,21.77,22.54,22.66,17.45,16.33,22.21,22.47,23.31,21.77
2002,7.71,6.47,9.15,5.73,8.13,7.32,9.02,7.88,7.07,10.26,6.23,8.44,8.71,8.16,6.89,6.46,7.86,7.75,8.57,8.13,8.76,7.92,5.96,21.79,21.68,22.65,22.64,17.66,16.54,22.42,22.68,23.51,21.98
2003,7.30,5.62,9.01,5.40,7.59,6.74,8.46,7.38,6.35,10.09,5.48,7.87,8.09,8.12,6.54,5.66,7.78,7.08,8.07,7.45,8.41,7.81,5.61,22.04,21.99,22.82,22.68,17.73,16.61,22.52,22.79,23.65,22.08
2004,7.16,5.62,8.70,5.23,7.59,6.76,8.43,7.26,6.44,9.87,5.49,7.89,8.07,7.78,6.35,5.69,7.45,7.28,7.92,7.55,8.19,7.55,5.40,21.98,21.90,22.54,22.56,17.71,16.57,22.21,22.48,23.31,21.78
2005,6.97,5.60,8.39,4.90,7.53,6.62,8.35,7.18,6.51,9.30,5.28,7.92,8.10,7.35,6.08,5.78,7.04,7.42,7.86,7.69,8.02,7.02,5.04,22.39,22.26,22.75,22.88,17.50,16.38,22.41,22.67,23.49,21.98
2006,7.63,6.10,9.25,5.74,8.04,7.20,8.90,7.73,6.87,10.19,5.87,8.34,8.51,8.29,6.91,6.17,7.97,7.69,8.41,7.99,8.73,7.90,5.85,21.95,21.87,22.55,22.74,17.60,16.50,22.20,22.46,23.29,21.77
2007,7.35,6.27,8.55,5.28,7.86,7.09,8.66,7.54,6.96,10.06,5.91,8.24,8.52,7.62,6.40,6.35,7.25,7.70,8.17,8.03,8.27,7.61,5.61,21.94,21.83,22.48,23.08,17.83,16.72,22.10,22.36,23.18,21.67
2008,7.09,5.85,8.44,5.10,7.46,6.72,8.31,7.20,6.46,10.07,5.50,7.78,8.07,7.62,6.20,5.81,7.22,7.23,7.83,7.56,8.05,7.53,5.38,21.77,21.66,22.20,22.62,17.87,16.75,21.86,22.12,22.95,21.43
2009,7.20,6.07,8.78,5.33,7.33,6.83,8.18,7.14,6.44,10.35,5.72,7.62,7.91,7.93,6.40,5.95,7.55,7.01,7.70,7.37,8.07,7.84,5.69,21.94,21.86,22.63,23.00,18.17,17.07,22.28,22.54,23.36,21.86
2010,6.32,5.18,7.84,4.41,6.47,5.99,7.35,6.37,5.58,9.62,4.87,6.68,7.06,6.97,5.52,5.07,6.57,5.97,6.94,6.41,7.26,6.99,4.78,22.31,22.21,22.92,23.08,18.31,17.21,22.58,22.84,23.63,22.16
2011,7.76,6.53,9.36,5.79,8.18,7.39,8.94,7.93,7.00,10.29,6.18,8.43,8.70,8.28,7.00,6.43,7.98,7.68,8.59,8.07,8.90,7.98,6.00,21.99,21.86,22.51,22.97,18.01,16.89,22.21,22.47,23.30,21.78
2012,7.19,5.96,8.64,5.30,7.50,6.90,8.36,7.31,6.50,9.98,5.69,7.73,8.08,7.74,6.45,5.92,7.36,7.07,7.90,7.46,8.21,7.60,5.57,21.89,21.76,22.63,22.81,18.20,17.07,22.23,22.49,23.31,21.80
2013,6.95,5.89,8.45,4.95,7.30,6.61,8.21,7.07,6.26,9.73,5.59,7.46,7.76,7.43,6.16,5.78,7.13,6.66,7.76,7.08,8.00,7.32,5.30,21.91,21.77,22.68,22.82,18.08,16.96,22.31,22.57,23.40,21.88
2014,8.17,7.24,9.55,6.19,8.40,7.88,9.22,8.21,7.62,10.83,6.85,8.76,9.09,8.66,7.30,7.18,8.32,8.22,8.79,8.57,9.08,8.55,6.57,21.96,21.87,22.66,22.88,18.45,17.33,22.29,22.55,23.37,21.86
2015,7.73,6.82,9.12,5.76,7.97,7.47,8.77,7.86,7.06,10.49,6.48,8.27,8.61,8.27,6.86,6.60,7.87,7.49,8.46,7.93,8.64,8.14,6.20,22.25,22.20,22.87,23.07,18.54,17.43,22.50,22.76,23.58,22.08
2016,7.42,6.41,8.94,5.46,7.62,6.97,8.50,7.45,6.65,10.36,6.00,7.90,8.22,8.12,6.53,6.22,7.73,7.30,8.10,7.60,8.32,7.97,5.86,22.29,22.19,22.87,22.86,18.30,17.18,22.49,22.75,23.55,22.07
2017,7.48,6.46,8.92,5.43,7.90,7.12,8.71,7.62,6.87,10.09,6.10,8.20,8.51,7.94,6.53,6.37,7.59,7.57,8.25,7.88,8.37,7.76,5.81,22.07,21.98,22.71,23.17,18.56,17.42,22.32,22.58,23.40,21.89
2018,8.21,7.26,9.60,6.36,8.24,8.03,9.05,8.34,7.62,10.94,6.99,8.63,9.09,8.85,7.43,7.11,8.42,7.85,8.81,8.40,9.14,8.62,6.73,21.83,21.75,22.38,22.99,18.31,17.17,21.96,22.23,23.05,21.53
2019,7.91,6.85,9.33,6.00,8.10,7.70,8.92,8.11,7.32,10.45,6.57,8.44,8.91,8.44,7.11,6.74,8.06,7.69,8.63,8.20,8.87,8.14,6.31,22.12,22.05,22.73,23.33,18.68,17.56,22.27,22.54,23.36,21.84
2020,8.24,7.15,9.68,6.26,8.64,8.02,9.40,8.53,7.70,10.45,6.83,8.98,9.35,8.63,7.43,7.11,8.32,8.19,9.13,8.67,9.29,8.20,6.46,22.19,22.11,22.78,23.23,18.17,17.03,22.36,22.62,23.43,21.93
